keys,en,ru,ua
it_empty,empty,пусто,порожньо
it_ration,ration,паёк,пайок
it_bandage,bandage,бинт,бінт
it_first_aid,first aid kit,аптечка,аптечка
it_chest_normal,chest,сундук,скриня
it_chest_rare,big chest,большой сундук,велика скриня
it_chest_open,open chest,открытый сундук,відчинена скриня
it_apple_green,green apple,зел. яблоко,зел. яблоко
it_apple_red,red apple,красн. яблоко,черв. яблоко
it_apple_yellow,yellow apple,желт. яблоко,жовт. яблоко
it_almonds,almonds,миндаль,мигдаль
it_avocado,avocado,авокадо,авокадо
it_bacon,bacon,бекон,бекон
it_banana,banana,банан,банан
it_dough,dough,тесто,тісто
it_bagel,bagel,бублик,бублік
it_butter,butter,масло,масло
it_cabbage,cabbage,капуста,капуста
it_cantaloupe,cantaloupe,дыня,диня
it_carrot,carrot,морковь,морква
it_cauliflower,cauliflower,цв. капуста,кол. капуста
it_celery,celery,сельдерей,селера
it_cheese,cheese,сыр,сир
it_chicken,chicken,курятина,курятина
it_cherry,cherry,вишня,вишня
it_pepper_chili,chili pepper,перец чили,перець чілі
it_pepper_red,red pepper,красн. перец,черв. перець
it_pepper_green,green pepper,зел. перец,зел. перець
it_pepper_yellow,yellow pepper,желт. перец,жовт. перець
