keys,en,ru,ua
up_desc_portal_license_1,"A license, which allows you to travel to further islands.","Лицензия, позволяющая вам отправляться на дальние острова.","Ліцензія, що надає вам змогу відправлятися на дальні острови."
up_desc_portal_license_2,"A license, which allows you to travel to dangerous islands.","Лицензия, позволяющая вам отправляться на опасные острова.","Ліцензія, що надає вам змогу відправлятися на небезпечні острови."
up_desc_portal_license_3,"A license, which allows you to travel to rich islands.","Лицензия, позволяющая вам отправляться на богатые острова.","Ліцензія, що надає вам змогу відправлятися на багаті острови."
up_desc_portal_storage_1,Allows you to send home one extra chest before needing to return.,Позволяет отправить домой на один сундук больше.,Дозволяє відправити додому на одну скриню більше.
up_desc_portal_storage_2,Allows you to send home one extra chest before needing to return.,Позволяет отправить домой на один сундук больше.,Дозволяє відправити додому на одну скриню більше.
up_desc_portal_storage_3,Allows you to send home one extra chest before needing to return.,Позволяет отправить домой на один сундук больше.,Дозволяє відправити додому на одну скриню більше.
up_desc_portal_storage_4,Allows you to send home two extra chests before needing to return.,Позволяет отправить домой на два сундука больше.,Дозволяє відправити додому на дві скрині більше.
up_desc_armor_1,"Train to wear light armor, increasing your maximum hit points by 1.","Тренируйтесь носить легкие доспехи, увеличивая максимальное количество хитов на 1.","Навчіться носити легкі обладунки, збільшуючи свої максимальні очки здоров’я на 1."
up_desc_armor_2,"Train to wear medium armor, increasing your maximum hit points by 2.","Тренируйтесь носить средние доспехи, увеличивая максимальное количество очков жизни на 2.","Навчіться носити середню броню, збільшуючи ваші максимальні очки життя на 2."
up_desc_armor_3,Heavy armor training increases you hit points by another 2.,Тренировка в тяжелых доспехах увеличивает ваши хиты еще на 2.,Навчання у важкій броні збільшує ваші очки життя ще на 2.
up_desc_armor_4,"Learn how to wear the best, magic armor, increasing your hit points by 4.","Научитесь носить лучшие, волшебные доспехи, увеличивающие ваши очки жизни на 4.","Навчіться носити найкращі чарівні обладунки, збільшуючи свої життєві бали на 4."
up_desc_dexterity_1,Basic sword wielding lessons increase the speed of your attacks.,Базовые уроки владения мечом увеличивают скорость ваших атак.,Основні уроки володіння мечем підвищують швидкість ваших атак.
up_desc_dexterity_2,"Learn how to pace yourself in combat, reducing the stamina drain when attacking.","Научитесь держать темп в бою, уменьшая расходы выносливости во время атак.","Навчіться тримати темп у бою, зменшуючи витрати витривалості під час атак."
up_desc_dexterity_3,"Learn how to feint and backswing, increasing the speed of your attacks.","Научитесь делать финты и замахи, увеличивая скорость своих атак.","Навчіться робити фінти та замахи назад, збільшуючи швидкість ваших атак."
up_desc_dexterity_4,"Make the sword an extension of your body, almost completely removing the combat stamina drain and increasing attack speed to its maximum.","Сделайте меч продолжением своего тела. Выносливость практически не тратится во время боя, а скорость атаки максимальна.","Зробіть меч продовженням свого тіла. Витривалість практично не витрачається під час бою, а швидкість атаки максимальна."
up_desc_max_food_1,"Who would've known that eating is a skill? Learn how to consume rations more effectively, and restore 50% of your stamina bar with each ration.","Кто бы мог знать, что есть – это навык? Научитесь потреблять пайки более эффективно и восстанавливайте 50% своей выносливости с каждым пайком.","Хто б міг знати, що їсти - це навик? Навчіться споживати пайки ефективніше та відновлюйте 50% своєї витривалості з кожним пайком."
up_desc_max_food_2,"Control your day to day eating habits, and you'll learn how to last 50% longer while eating basically the same.","Контролируйте свое пищевое поведение, и вы научитесь держаться на 50% дольше, питаясь практически так же.","Контролюйте свою харчову поведінку і ви навчитеся триматися на 50% довше, харчуючись практично так само."
